Iteration,Discriminator Loss,Generator Loss
5530,1.310519,0.659587
5540,1.193656,0.556279
5550,1.267132,0.675402
5560,1.192606,0.642029
5570,1.270935,0.693177
5580,1.324604,0.488821
5590,1.466713,0.521071
5600,1.316729,0.679167
5610,1.324052,0.670763
5620,1.245629,0.481810
5630,1.238336,0.478242
5640,1.335250,0.551124
5650,1.269530,0.456214
5660,1.310112,0.670994
5670,1.202521,0.615087
5680,1.208709,0.761966
5690,1.256346,0.655489
5700,1.279093,0.573656
5710,1.264247,0.481904
5720,1.377784,0.590730
5730,1.234916,0.614821
5740,1.326161,0.585611
5750,1.201249,0.518090
5760,1.247802,0.440124
5770,1.227297,0.529305
5780,1.285492,0.552676
5790,1.206652,0.648535
5800,1.347601,0.775642
5810,1.278190,0.504897
5820,1.254432,0.668989
5830,1.287962,0.668279
5840,1.281672,0.769637
5850,1.226638,0.484615
5860,1.155025,0.610823
5870,1.257206,0.460569
5880,1.297879,0.638062
5890,1.325240,0.508259
5900,1.278655,0.689057
5910,1.168393,0.629717
5920,1.145561,0.497496
5930,1.266756,0.644050
5940,1.261958,0.638160
5950,1.280202,0.546941
5960,1.381090,0.723430
5970,1.233154,0.497987
5980,1.205417,0.418458
5990,1.345569,0.693426
6000,1.360987,0.614566
6010,1.295441,0.475861
6020,1.209036,0.423664
6030,1.145131,0.449492
6040,1.369574,0.851194
6050,1.306258,0.655628
6060,1.339465,0.515993
6070,1.270937,0.749013
6080,1.377299,0.570598
6090,1.388718,0.656470
6100,1.175908,0.472751
6110,1.346577,0.743577
6120,1.277321,0.609534
6130,1.310284,0.484526
6140,1.270754,0.623039
6150,1.388480,0.526673
6160,1.254864,0.488902
6170,1.238840,0.483161
6180,1.379142,0.524434
6190,1.212088,0.600289
6200,1.302660,0.504082
6210,1.315621,0.662499
6220,1.218093,0.635191
6230,1.238519,0.668867
6240,1.167152,0.445174
6250,1.328789,0.812486
6260,1.289996,0.470236
6270,1.309037,0.606338
6280,1.199575,0.659035
6290,1.352568,0.638516
6300,1.262671,0.414799
6310,1.219881,0.462841
6320,1.256067,0.485173
6330,1.252995,0.487378
6340,1.137622,0.613912
6350,1.219275,0.624938
6360,1.269027,0.621229
6370,1.366000,0.425162
6380,1.308702,0.640122
6390,1.308460,0.383029
