Iteration,Discriminator Loss,Generator Loss
4350,1.277794,0.649177
4360,1.255486,0.590245
4370,1.398742,0.634807
4380,1.339096,0.620931
4390,1.320754,0.690315
4400,1.248335,0.516328
4410,1.353902,0.690210
4420,1.280843,0.513019
4430,1.249022,0.485890
4440,1.362885,0.689427
4450,1.281163,0.547493
4460,1.322454,0.561176
4470,1.388375,0.675373
4480,1.381467,0.675888
4490,1.238213,0.335174
4500,1.305618,0.624295
4510,1.307095,0.604172
4520,1.342670,0.718567
4530,1.347001,0.659037
4540,1.357845,0.622301
4550,1.332495,0.640706
4560,1.340559,0.665905
4570,1.369389,0.456899
4580,1.332608,0.686977
4590,1.391044,0.547787
4600,1.331289,0.623895
4610,1.357761,0.638006
4620,1.216410,0.440895
4630,1.307161,0.522420
4640,1.307959,0.580835
4650,1.364969,0.550963
4660,1.340987,0.662320
4670,1.349403,0.453843
4680,1.368045,0.632248
4690,1.377499,0.536420
4700,1.374500,0.662101
4710,1.373341,0.618774
4720,1.221948,0.433207
4730,1.406192,0.630072
4740,1.372699,0.611902
4750,1.382807,0.408609
4760,1.368647,0.445944
4770,1.360661,0.697986
4780,1.201159,0.370577
4790,1.378440,0.685497
4800,1.275347,0.534353
4810,1.362262,0.673543
4820,1.244991,0.542331
4830,1.349667,0.695806
4840,1.250865,0.365405
4850,1.367158,0.676269
4860,1.242499,0.457640
4870,1.378479,0.696752
4880,1.348380,0.625825
4890,1.331634,0.662184
4900,1.361974,0.601998
4910,1.286436,0.482198
4920,1.366471,0.439430
4930,1.375385,0.599705
4940,1.354244,0.683725
4950,1.348075,0.658961
4960,1.297899,0.588125
4970,1.251258,0.571763
4980,1.351407,0.580278
4990,1.291668,0.662564
5000,1.264321,0.584534
5010,1.281565,0.555046
5020,1.161187,0.515718
5030,1.231540,0.578555
5040,1.329503,0.554255
5050,1.379015,0.707857
5060,1.287182,0.416347
5070,1.201091,0.411324
5080,1.328433,0.446941
5090,1.361618,0.607722
5100,1.316206,0.634722
5110,1.393369,0.562297
5120,1.385157,0.596781
5130,1.285766,0.457986
5140,1.349900,0.683465
5150,1.321151,0.682060
5160,1.286120,0.495343
5170,1.252877,0.640538
5180,1.233892,0.565509
5190,1.352040,0.543897
5200,1.264560,0.784524
5210,1.164847,0.392595
5220,1.320513,0.669660
5230,1.258574,0.613863
5240,1.285546,0.486613
5250,1.365749,0.720034
5260,1.274900,0.649047
5270,1.407082,0.591720
5280,1.381237,0.837055
5290,1.250030,0.477664
5300,1.241938,0.475947
5310,1.225330,0.525224
5320,1.254862,0.435979
5330,1.339347,0.573429
5340,1.223720,0.570788
5350,1.127825,0.347750
5360,1.305168,0.657663
5370,1.306326,0.502017
5380,1.379031,0.785451
5390,1.248824,0.404295
5400,1.302063,0.531306
5410,1.349135,0.683679
5420,1.302192,0.481135
5430,1.286083,0.624487
5440,1.360442,0.730671
5450,1.264852,0.508594
5460,1.305166,0.469269
5470,1.364017,0.616268
5480,1.294037,0.516331
5490,1.209011,0.559647
5500,1.277857,0.601386
5510,1.258756,0.568061
5520,1.354293,0.619011
5530,1.279947,0.499993
5540,1.356014,0.672968
5550,1.299918,0.522910
5560,1.232300,0.441924
5570,1.263128,0.654832
5580,1.322934,0.656373
